id,subject,body,label,email_text
1,You've Won a $1000 Gift Card - Claim Now!,This is an urgent notice from the IT department. Your mailbox will exceed its limit. Click http://irs-refund-claim.online/verify and login with your credentials to upgrade your storage now.,phishing,You've Won a $1000 Gift Card - Claim Now! This is an urgent notice from the IT department. Your mailbox will exceed its limit. Click http://irs-refund-claim.online/verify and login with your credentials to upgrade your storage now.
2,Your Amazon Order Could Not Be Processed,"As part of our annual audit, HR requires all employees to re-confirm payroll and social security details via the secure portal at http://amazon-order-issue.support/reactivate by end of day.",phishing,"Your Amazon Order Could Not Be Processed As part of our annual audit, HR requires all employees to re-confirm payroll and social security details via the secure portal at http://amazon-order-issue.support/reactivate by end of day."
3,You've Won a $1000 Gift Card - Claim Now!,Your account has been temporarily limited due to suspicious login attempts. Please confirm your password and card number immediately at http://irs-refund-claim.online/verify to restore access.,phishing,You've Won a $1000 Gift Card - Claim Now! Your account has been temporarily limited due to suspicious login attempts. Please confirm your password and card number immediately at http://irs-refund-claim.online/verify to restore access.
4,Weekly Newsletter: Team Updates,Congratulations on your well-deserved promotion to Senior Engineer! The whole team is proud of your hard work this year.,legitimate,Weekly Newsletter: Team Updates Congratulations on your well-deserved promotion to Senior Engineer! The whole team is proud of your hard work this year.
5,Welcome to the Team!,This is a friendly reminder to submit your timesheet for this week by end of day. Let HR know if you run into any issues with the portal.,legitimate,Welcome to the Team! This is a friendly reminder to submit your timesheet for this week by end of day. Let HR know if you run into any issues with the portal.
6,Lunch this Friday?,Congratulations on your well-deserved promotion to Senior Engineer! The whole team is proud of your hard work this year.,legitimate,Lunch this Friday? Congratulations on your well-deserved promotion to Senior Engineer! The whole team is proud of your hard work this year.
7,Security Alert: Unusual Sign-in Activity Detected,This is an urgent notice from the IT department. Your mailbox will exceed its limit. Click http://secure-verify-account.com/login and login with your credentials to upgrade your storage now.,phishing,Security Alert: Unusual Sign-in Activity Detected This is an urgent notice from the IT department. Your mailbox will exceed its limit. Click http://secure-verify-account.com/login and login with your credentials to upgrade your storage now.
8,Project Status Update - Q3 Report,"Hey, are you free for lunch this Friday around 1 PM? I was thinking we could try the new place downtown.",legitimate,"Project Status Update - Q3 Report Hey, are you free for lunch this Friday around 1 PM? I was thinking we could try the new place downtown."
9,Weekly Newsletter: Team Updates,This is a friendly reminder to submit your timesheet for this week by end of day. Let HR know if you run into any issues with the portal.,legitimate,Weekly Newsletter: Team Updates This is a friendly reminder to submit your timesheet for this week by end of day. Let HR know if you run into any issues with the portal.
10,Your Amazon Order Could Not Be Processed,"Security Alert: Someone tried to access your account from an unrecognized device. If this wasn't you, click http://paypal-update-info.net/confirm immediately and enter your password to secure your account.",phishing,"Your Amazon Order Could Not Be Processed Security Alert: Someone tried to access your account from an unrecognized device. If this wasn't you, click http://paypal-update-info.net/confirm immediately and enter your password to secure your account."
